,player_1_name,player_2_name,weight_class,win,duration,kd,o_kd,ss_hit,ss_att,o_ss_hit,o_ss_att,ss_perc,o_ss_perc,s_hit,s_att,o_s_att,o_s_hit,td_hit,td_att,o_td_hit,o_td_att,td_perc,o_td_perc,sub_att,o_sub_att,rev,o_rev,ctrl,o_ctrl,ss_head_hit,ss_head_att,o_ss_head_hit,o_ss_head_att,ss_body_hit,ss_body_att,o_ss_body_hit,o_ss_body_att,ss_leg_hit,ss_leg_att,o_ss_leg_hit,o_ss_leg_att,ss_dist_hit,ss_dist_att,o_ss_dist_hit,o_ss_dist_att,ss_clinch_hit,ss_clinch_att,o_ss_clinch_hit,o_ss_clinch_att,ss_ground_hit,ss_ground_att,o_ss_ground_hit,o_ss_ground_att,player_1_url,player_2_url,match_url,event_date,event_month,event_year,wins_diff,losses_diff,ties_diff,nc_diff,total_matches_diff,height_diff,weight_diff,reach_diff,stance_diff,age_diff,ss_diff,ss_acc_diff,ss_abs_diff,ss_def_diff,td_diff,td_acc_diff,td_def_diff,sub_diff,prev_diff
0,Tony Ferguson,Justin Gaethje,Lightweight,0,25,0,0,136,296,143,197,0.45,0.72,136,296,197,143,0,0,0,0,0.0,0.0,0,0,0,0,0,0,64,212,100,153,36,43,13,14,36,41,30,30,136,296,143,197,0,0,0,0,0,0,0,0,http://ufcstats.com/fighter-details/22a92d7f62195791,http://ufcstats.com/fighter-details/9e8f6c728eb01124,http://ufcstats.com/fight-details/d395828f5cb045a5,"May 09, 2020","09,",2020,3,4,0,0,7,0.0,0.0,6.0,0,4.0,-2.39,-0.15,-3.9,0.03,0.44,0.41,-0.09,1.0,-1
1,Francis Ngannou,Jairzinho Rozenstruik,Heavyweight,1,15,1,0,6,13,5,5,0.46,1.0,6,13,5,5,0,0,0,0,0.0,0.0,0,0,0,0,2,0,5,11,3,3,1,2,0,0,0,0,2,2,3,9,5,5,0,0,0,0,3,4,0,0,http://ufcstats.com/fighter-details/8d03ce87ca14e778,http://ufcstats.com/fighter-details/2cd428e9606856fd,http://ufcstats.com/fight-details/fcfaa28ed6888088,"May 09, 2020","09,",2020,5,-1,0,0,4,2.0,8.0,5.0,0,2.0,-0.47,-0.04,-1.08,-0.04,0.76,0.62,-0.04,0.3,2
2,Anthony Pettis,Donald Cerrone,Lightweight,1,15,0,0,63,113,62,148,0.55,0.41,81,133,148,62,0,1,2,8,0.0,0.25,0,0,0,0,0,106,44,84,31,112,10,18,18,22,9,11,13,14,60,110,59,143,1,1,3,5,2,2,0,0,http://ufcstats.com/fighter-details/1d00756835ca67c9,http://ufcstats.com/fighter-details/cbb682f5fcc44bfc,http://ufcstats.com/fight-details/b9abcce29378e5cc,"May 09, 2020","09,",2020,12,7,0,2,21,3.0,0.0,1.0,0,4.0,1.36,-0.01,1.04,-0.01,0.55,-0.17,0.13,0.1,-2
3,Carla Esparza,Michelle Waterson-Gomez,Strawweight,1,15,0,0,45,103,44,98,0.43,0.44,48,106,98,44,1,10,0,0,0.1,0.0,0,0,0,0,46,0,34,88,15,60,6,8,13,16,5,7,16,22,39,94,39,92,5,8,5,6,1,1,0,0,http://ufcstats.com/fighter-details/d910665038efc639,http://ufcstats.com/fighter-details/eb04b9d31e938edb,http://ufcstats.com/fight-details/f2520dd5457ab293,"May 09, 2020","09,",2020,2,-3,0,0,-1,-2.0,0.0,1.0,0,-1.0,-1.44,-0.08,-1.4,0.05,1.79,0.02,-0.2,-0.5,1
4,Vicente Luque,Niko Price,Welterweight,1,15,1,0,130,237,129,291,0.54,0.44,130,237,307,144,0,0,1,4,0.0,0.25,0,0,0,0,25,109,85,186,81,230,8,12,15,25,37,39,33,36,126,229,116,268,1,4,9,19,3,4,4,4,http://ufcstats.com/fighter-details/d8da10db80131bec,http://ufcstats.com/fighter-details/6d4b63c767106d3a,http://ufcstats.com/fight-details/3f810c3433dddb80,"May 09, 2020","09,",2020,-6,-3,-1,2,-8,1.0,0.0,0.0,0,2.0,-0.01,-0.1,0.06,-0.04,0.19,-0.3,0.03,-0.1,0
5,Bryce Mitchell,Charles Rosa,Featherweight,1,15,0,0,40,49,5,10,0.81,0.5,60,74,17,12,3,3,0,0,1.0,0.0,5,0,0,0,771,0,27,36,2,7,13,13,1,1,0,0,2,2,0,3,4,8,0,0,0,0,40,46,1,2,http://ufcstats.com/fighter-details/40093d1d2d78394e,http://ufcstats.com/fighter-details/d9c6f19f958643e9,http://ufcstats.com/fight-details/08244974cf39ae38,"May 09, 2020","09,",2020,-1,7,0,0,6,-1.0,0.0,-1.0,0,8.0,0.8,-0.27,2.47,-0.12,-1.73,-0.17,0.05,-0.9,-3
6,Jeremy Stephens,Calvin Kattar,Featherweight,0,15,0,1,57,104,52,113,0.54,0.46,57,104,113,52,0,0,0,1,0.0,0.0,0,0,0,0,6,6,24,66,32,92,9,12,12,13,24,26,8,8,56,103,47,103,1,1,1,4,0,0,4,6,http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fighter-details/18968f97ad34f15c,http://ufcstats.com/fight-details/02f5621f480ad1d4,"May 09, 2020","09,",2020,-5,-12,0,-1,-18,2.0,0.0,1.0,0,-2.0,1.95,-0.01,4.05,-0.04,-0.74,-0.09,0.26,-0.3,1
7,Greg Hardy,Yorgan De Castro,Heavyweight,1,15,0,0,55,124,24,69,0.44,0.34,66,135,69,24,0,0,0,0,0.0,0.0,0,0,0,0,53,0,21,80,6,44,7,9,2,7,27,35,16,18,55,124,24,69,0,0,0,0,0,0,0,0,http://ufcstats.com/fighter-details/85073dbd1be65ed9,http://ufcstats.com/fighter-details/1eff7bc0f815b270,http://ufcstats.com/fight-details/f0d4652f8edfbe6d,"May 09, 2020","09,",2020,1,2,0,1,4,5.0,15.0,6.0,0,-2.0,2.33,0.07,-0.54,0.02,0.2,0.33,-0.13,0.0,0
8,Ryan Spann,Sam Alvey,Middleweight,1,15,0,0,51,115,57,108,0.44,0.52,52,116,156,103,2,7,0,0,0.28,0.0,1,0,0,0,181,29,41,102,40,90,10,13,3,3,0,0,14,15,48,109,46,94,3,6,11,14,0,0,0,0,http://ufcstats.com/fighter-details/d156513a19acf856,http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,http://ufcstats.com/fight-details/b70dfff154b135bf,"May 09, 2020","09,",2020,12,11,1,1,25,-3.0,-20.0,-4.0,-1,5.0,-0.14,0.0,0.21,0.04,-1.4,-0.21,0.32,-1.7,-2
9,Henry Cejudo,Dominick Cruz,Bantamweight,1,25,1,0,53,83,33,81,0.63,0.4,56,86,81,33,1,5,0,4,0.2,0.0,0,0,0,0,14,0,24,50,15,58,6,8,8,11,23,25,10,12,44,70,31,78,0,2,2,3,9,11,0,0,http://ufcstats.com/fighter-details/10f3ba6cd2f44a97,http://ufcstats.com/fighter-details/056c493bbd76a918,http://ufcstats.com/fight-details/4e77cc2c8d604241,"May 09, 2020","09,",2020,8,2,0,0,10,4.0,0.0,4.0,0,2.0,-0.01,-0.12,-0.16,0.05,0.7,0.09,-0.1,-0.1,-1
